Results,Age,Benefit,Benefit Value,Body Type,Confidence,Cortisol Cleaning,Cortisol Filter,Created time,Inflammation Filter,Last edited time,Main Tag,Max Pain,Muscle Damage Filter,Muscle Soreness Filter,"Oxidative Stress Filter ",Pain Filter,Participants,Product,"Research Papers ",Score,Sex,Sleep Quality Filter,Sub Tag,Supplement,Trial Design,Trial Length,Year,💊 Supplements
"Magnesium supplements, both independently and combined with vitamin B6, resulted in significant improvements in anxiety and depression scores, as well as the overall quality of life over an 8-week period. ",18-29,Positive,1,Healthy Weight,✅,No,0,"June 30, 2023 11:20 AM",0,"April 18, 2025 4:14 PM",Mood,Magnesium,0,0,0,0,264,,Effect of magnesium and vitamin B6 supplementation on mental health and quality of life in stressed healthy adults: Post-hoc analysis of a randomised controlled trial. (https://www.notion.so/Effect-of-magnesium-and-vitamin-B6-supplementation-on-mental-health-and-quality-of-life-in-stressed--c06c2d8d20684e58be5ee1271e7f6b61?pvs=21),1,Both sexes,0,,Magnesium,Randomized controlled trial,1-6 Months,,Magnesium (https://www.notion.so/Magnesium-1d659c2aeec581689148fb23170e1ad5?pvs=21)
"The participants who were supplemented with Tongkat Ali (TA) root extract experienced significant improvements in their mood states, characterized by reductions in Tension (by 11%), Anger (by 12%), and Confusion (by 15%).","18-29, 30-44",Positive,1,Healthy Weight,✅,No,0,"June 30, 2023 11:23 AM",0,"June 30, 2023 11:24 AM",Stress,,0,0,0,0,63,,Effect of Tongkat Ali on stress hormones and psychological mood state in moderately stressed subjects (https://www.notion.so/Effect-of-Tongkat-Ali-on-stress-hormones-and-psychological-mood-state-in-moderately-stressed-subject-e564ea8f34f946a4a3a564020063a5d7?pvs=21),1,both,0,,Tongkat Ali,Double-blind,2-4 Weeks,,
"HRG80 treatment was more beneficial than that with a placebo, and significantly superior compared to that with the PGS and placebo regarding attention scores after single and repeated administrations for 5 and 12 days.",45-64,Positive,1,,✅,No,0,"June 30, 2023 11:25 AM",0,"April 18, 2025 4:27 PM",Attention,Panax Gingseng,0,0,0,0,50,,"Efficacy of Panax ginseng Meyer Herbal Preparation HRG80 in Preventing and Mitigating Stress-Induced Failure of Cognitive Functions in Healthy Subjects: A Pilot, Randomized, Double-Blind, Placebo-Controlled Crossover Trial (https://www.notion.so/Efficacy-of-Panax-ginseng-Meyer-Herbal-Preparation-HRG80-in-Preventing-and-Mitigating-Stress-Induced-e4686cb54c9f4e4aa5f1eb706594dbfa?pvs=21)",1,n/a,0,,Panax Gingseng,Randomized controlled trial,1-2 weeks,,Panax Gingseng (https://www.notion.so/Panax-Gingseng-1d659c2aeec58120981cd8196c67f700?pvs=21)
" The study mentions a significant interaction effect in memory tests, indicating that HRG80 treatment was more beneficial than that with a placebo.",45-64,Positive,1,,✅,No,0,"June 30, 2023 11:25 AM",0,"April 18, 2025 4:27 PM",Cognition,Panax Gingseng,0,0,0,0,50,,"Efficacy of Panax ginseng Meyer Herbal Preparation HRG80 in Preventing and Mitigating Stress-Induced Failure of Cognitive Functions in Healthy Subjects: A Pilot, Randomized, Double-Blind, Placebo-Controlled Crossover Trial (https://www.notion.so/Efficacy-of-Panax-ginseng-Meyer-Herbal-Preparation-HRG80-in-Preventing-and-Mitigating-Stress-Induced-e4686cb54c9f4e4aa5f1eb706594dbfa?pvs=21)",1,n/a,0,,Panax Gingseng,Randomized controlled trial,1-2 weeks,,Panax Gingseng (https://www.notion.so/Panax-Gingseng-1d659c2aeec58120981cd8196c67f700?pvs=21)
HRG80 treatment was significantly superior compared to that with the PGS and placebo regarding perceived-stress (PS) scores after single and repeated administrations for 5 and 12 days,45-64,Positive,1,,✅,No,0,"June 30, 2023 11:26 AM",0,"April 18, 2025 4:27 PM",Stress,Panax Gingseng,0,0,0,0,50,,"Efficacy of Panax ginseng Meyer Herbal Preparation HRG80 in Preventing and Mitigating Stress-Induced Failure of Cognitive Functions in Healthy Subjects: A Pilot, Randomized, Double-Blind, Placebo-Controlled Crossover Trial (https://www.notion.so/Efficacy-of-Panax-ginseng-Meyer-Herbal-Preparation-HRG80-in-Preventing-and-Mitigating-Stress-Induced-e4686cb54c9f4e4aa5f1eb706594dbfa?pvs=21)",1,n/a,0,,Panax Gingseng,Randomized controlled trial,1-2 weeks,,Panax Gingseng (https://www.notion.so/Panax-Gingseng-1d659c2aeec58120981cd8196c67f700?pvs=21)
"The performance in a short memory test, where higher scores were achieved by women, remained unaffected by EGb 761 treatment.",18-29,NULL,-1,Healthy Weight,✅,Yes,0,"June 30, 2023 11:29 AM",0,"April 19, 2025 4:19 PM",Cognition,Ginkgo Biloba,0,0,0,0,70,,Reduction of rise in blood pressure and cortisol release during stress by Ginkgo biloba extract (EGb 761) in healthy volunteers (https://www.notion.so/Reduction-of-rise-in-blood-pressure-and-cortisol-release-during-stress-by-Ginkgo-biloba-extract-EGb-8ca9ca1a20e2496bbae2aaa48489c95e?pvs=21),-1,Both sexes,0,,Ginkgo Biloba,Double-blind,24 Hours,,Ginkgo Biloba (https://www.notion.so/Ginkgo-Biloba-1d659c2aeec58175b4b1ea1602e75795?pvs=21)
Single treatment with EGb 761 (120 mg) reduced stress-induced rise in blood pressure without affecting the heart rate.,18-29,Positive,1,Healthy Weight,✅,Yes,0,"June 30, 2023 11:30 AM",0,"April 19, 2025 4:19 PM",Stress,Ginkgo Biloba,0,0,0,0,70,,Reduction of rise in blood pressure and cortisol release during stress by Ginkgo biloba extract (EGb 761) in healthy volunteers (https://www.notion.so/Reduction-of-rise-in-blood-pressure-and-cortisol-release-during-stress-by-Ginkgo-biloba-extract-EGb-8ca9ca1a20e2496bbae2aaa48489c95e?pvs=21),1,Both sexes,0,,Ginkgo Biloba,Double-blind,24 Hours,,Ginkgo Biloba (https://www.notion.so/Ginkgo-Biloba-1d659c2aeec58175b4b1ea1602e75795?pvs=21)
"Taking Centella asiatica, a plant extract, twice a day helped significantly reduce anxiety, stress, and related depression in a group of 33 adults. It also improved their ability to adjust to different situations and their mental processes.","18-29, 30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 11:34 AM",0,"June 30, 2023 11:35 AM",Anxiety,,0,0,0,0,33,,A clinical study on the management of generalized anxiety disorder with Centella asiatica (https://www.notion.so/A-clinical-study-on-the-management-of-generalized-anxiety-disorder-with-Centella-asiatica-28cf0031b1e94526853f69ee4809d5fe?pvs=21),1,Both,0,,Gotu Kola,Double-blind,1-6 Months,,
"Taking Centella asiatica, a plant extract, twice a day helped significantly reduce anxiety, stress, and related depression in a group of 33 adults. It also improved their ability to adjust to different situations and their mental processes.","18-29, 30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 11:34 AM",0,"June 30, 2023 11:35 AM",Stress,,0,0,0,0,33,,A clinical study on the management of generalized anxiety disorder with Centella asiatica (https://www.notion.so/A-clinical-study-on-the-management-of-generalized-anxiety-disorder-with-Centella-asiatica-28cf0031b1e94526853f69ee4809d5fe?pvs=21),1,Both,0,,Gotu Kola,Double-blind,1-6 Months,,
"Taking Centella asiatica, a plant extract, twice a day helped significantly reduce anxiety, stress, and related depression in a group of 33 adults. It also improved their ability to adjust to different situations and their mental processes.","18-29, 30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 11:34 AM",0,"June 30, 2023 11:35 AM",Mood,,0,0,0,0,33,,A clinical study on the management of generalized anxiety disorder with Centella asiatica (https://www.notion.so/A-clinical-study-on-the-management-of-generalized-anxiety-disorder-with-Centella-asiatica-28cf0031b1e94526853f69ee4809d5fe?pvs=21),1,Both,0,,Gotu Kola,Double-blind,1-6 Months,,
CA further significantly (p<0.01) improved the willingness for adjustment and cognition,"18-29, 30-44, 45-64",Positive,1,,🚩,No,0,"June 30, 2023 11:36 AM",0,"June 30, 2023 11:36 AM",Cognition,,0,0,0,0,33,,A clinical study on the management of generalized anxiety disorder with Centella asiatica (https://www.notion.so/A-clinical-study-on-the-management-of-generalized-anxiety-disorder-with-Centella-asiatica-28cf0031b1e94526853f69ee4809d5fe?pvs=21),0,Both,0,,Gotu Kola,Double-blind,1-6 Months,,
"The study found that affron® increased mood in participants. The mood was measured using the POMS and PANAS questionnaires, and the DASS-21 scale.","65+, 18-29, 30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 11:43 AM",0,"April 18, 2025 4:13 PM",Mood,Saffron,0,0,0,0,128,,"Saffron ® a novel saffron extract (Crocus sativus L.) improves mood in healthy adults over 4 weeks in a double-blind, parallel, randomized, placebo-controlled clinical trial (https://www.notion.so/Saffron-a-novel-saffron-extract-Crocus-sativus-L-improves-mood-in-healthy-adults-over-4-weeks-i-6dfd05569b15426b91e3084d84e3f4df?pvs=21)",1,Both sexes,0,,Saffron,Randomized controlled trial,2-4 Weeks,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
The study found that affron® managed stress in participants. The stress was measured using the DASS-21 scale.,"65+, 18-29, 30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 11:43 AM",0,"April 18, 2025 4:13 PM",Stress,Saffron,0,0,0,0,128,,"Saffron ® a novel saffron extract (Crocus sativus L.) improves mood in healthy adults over 4 weeks in a double-blind, parallel, randomized, placebo-controlled clinical trial (https://www.notion.so/Saffron-a-novel-saffron-extract-Crocus-sativus-L-improves-mood-in-healthy-adults-over-4-weeks-i-6dfd05569b15426b91e3084d84e3f4df?pvs=21)",1,Both sexes,0,,Saffron,Randomized controlled trial,2-4 Weeks,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
The study found that affron® reduced anxiety in participants. The anxiety was measured using the DASS-21 scale.,"65+, 18-29, 30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 11:43 AM",0,"April 18, 2025 4:13 PM",Anxiety,Saffron,0,0,0,0,128,,"Saffron ® a novel saffron extract (Crocus sativus L.) improves mood in healthy adults over 4 weeks in a double-blind, parallel, randomized, placebo-controlled clinical trial (https://www.notion.so/Saffron-a-novel-saffron-extract-Crocus-sativus-L-improves-mood-in-healthy-adults-over-4-weeks-i-6dfd05569b15426b91e3084d84e3f4df?pvs=21)",1,Both sexes,0,,Saffron,Randomized controlled trial,2-4 Weeks,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
"The study investigates the impact of E-EPA supplementation on depressive symptoms in middle-aged women. The results show that in women with Psychological Distress (PD) without Major Depressive Episode (MDE) at baseline, the 8-week changes in PD and depressive scales improved significantly more with E-EPA than with placebo.",30-44,Positive,1,"Healthy Weight, Overweight",✅,No,0,"June 30, 2023 11:45 AM",0,"April 18, 2025 4:29 PM",Mood,Fish Oil,0,0,0,0,120,,"Ethyl-eicosapentaenoic acid for the treatment of psychological distress and depressive symptoms in middle-aged women: a double-blind, placebo-controlled, randomized clinical trial (https://www.notion.so/Ethyl-eicosapentaenoic-acid-for-the-treatment-of-psychological-distress-and-depressive-symptoms-in-m-94882cfbd2b34dceb3b822b164c268e8?pvs=21)",1,Female,0,,Fish Oil,Double-blind,1-6 Months,,Fish Oil (https://www.notion.so/Fish-Oil-1d659c2aeec58131bac5d0a07c5381f7?pvs=21)
"However, for women who were already experiencing major depression, the supplement didn't make a significant difference compared to a dummy pill.",30-44,NULL,-1,"Healthy Weight, Overweight",✅,No,0,"June 30, 2023 11:45 AM",0,"April 18, 2025 4:29 PM",Mood,Fish Oil,0,0,0,0,120,,"Ethyl-eicosapentaenoic acid for the treatment of psychological distress and depressive symptoms in middle-aged women: a double-blind, placebo-controlled, randomized clinical trial (https://www.notion.so/Ethyl-eicosapentaenoic-acid-for-the-treatment-of-psychological-distress-and-depressive-symptoms-in-m-94882cfbd2b34dceb3b822b164c268e8?pvs=21)",-1,Female,0,,Fish Oil,Double-blind,1-6 Months,,Fish Oil (https://www.notion.so/Fish-Oil-1d659c2aeec58131bac5d0a07c5381f7?pvs=21)
"The study found a significant reduction in the number of analgesics used for dysmenorrhea within the NKO group, indicating a decrease in pain.","18-29, 30-44",Positive,1,,✅,No,0,"June 30, 2023 11:48 AM",0,"April 17, 2025 4:28 PM",Pain,Krill Oil,0,0,0,1,70,,Evaluation of the effects of Neptune Krill Oil on the management of premenstrual syndrome and dysmenorrhea (https://www.notion.so/Evaluation-of-the-effects-of-Neptune-Krill-Oil-on-the-management-of-premenstrual-syndrome-and-dysmen-3fa554f660d14556adf83485b0577137?pvs=21),1,Female,0,,Krill Oil,Double-blind,1-6 Months,,Krill Oil (https://www.notion.so/Krill-Oil-1d659c2aeec58193aa51c39394695c15?pvs=21)
The study found that Neptune Krill Oil can significantly reduce the emotional symptoms of premenstrual syndrome.,"18-29, 30-44",Positive,1,,✅,No,0,"June 30, 2023 11:48 AM",0,"April 17, 2025 4:28 PM",Mood,Krill Oil,0,0,0,0,70,,Evaluation of the effects of Neptune Krill Oil on the management of premenstrual syndrome and dysmenorrhea (https://www.notion.so/Evaluation-of-the-effects-of-Neptune-Krill-Oil-on-the-management-of-premenstrual-syndrome-and-dysmen-3fa554f660d14556adf83485b0577137?pvs=21),1,Female,0,,Krill Oil,Double-blind,1-6 Months,,Krill Oil (https://www.notion.so/Krill-Oil-1d659c2aeec58193aa51c39394695c15?pvs=21)
"The study investigates the effects of soy lecithin phosphatidic acid and phosphatidylserine complex (PAS) supplementation on pituitary adrenal reactivity (ACTH, cortisol) in response to a mental and emotional stressor. The treatment with 400 mg PAS resulted in a pronounced blunting of both serum ACTH and cortisol responses to the Trier Social Stress Test (TSST), indicating a stress-dampening effect.",18-29,Positive,1,Healthy Weight,✅,Yes,0,"June 30, 2023 2:04 PM",0,"April 17, 2025 4:50 PM",Stress,Soy Lecithin,0,0,0,0,80,,Effects of soy lecithin phosphatidic acid and phosphatidylserine complex (PAS) on the endocrine and psychological responses to mental stress (https://www.notion.so/Effects-of-soy-lecithin-phosphatidic-acid-and-phosphatidylserine-complex-PAS-on-the-endocrine-and--524169792c5f4060b1588de772e8c818?pvs=21),1,Both sexes,0,,Soy Lecithin,Double-blind,2-4 Weeks,,Soy Lecithin (https://www.notion.so/Soy-Lecithin-1d659c2aeec5818fb68be83cebe4cb50?pvs=21)
"The study uses the Spielberger State Anxiety Inventory stress subscale to measure the psychological response to a mental and emotional stressor. The group treated with 400 mg PAS showed decreased distress after the test, suggesting a potential reduction in anxiety.",18-29,Positive,1,Healthy Weight,✅,Yes,0,"June 30, 2023 2:04 PM",0,"April 17, 2025 4:50 PM",Anxiety,Soy Lecithin,0,0,0,0,80,,Effects of soy lecithin phosphatidic acid and phosphatidylserine complex (PAS) on the endocrine and psychological responses to mental stress (https://www.notion.so/Effects-of-soy-lecithin-phosphatidic-acid-and-phosphatidylserine-complex-PAS-on-the-endocrine-and--524169792c5f4060b1588de772e8c818?pvs=21),1,Both sexes,0,,Soy Lecithin,Double-blind,2-4 Weeks,,Soy Lecithin (https://www.notion.so/Soy-Lecithin-1d659c2aeec5818fb68be83cebe4cb50?pvs=21)
" The study reports a specific positive effect on emotional responses to the Trier Social Stress Test (TSST) in the group treated with 400 mg PAS. This suggests an improvement in mood.",18-29,Positive,1,Healthy Weight,✅,Yes,0,"June 30, 2023 2:04 PM",0,"April 17, 2025 4:50 PM",Mood,Soy Lecithin,0,0,0,0,80,,Effects of soy lecithin phosphatidic acid and phosphatidylserine complex (PAS) on the endocrine and psychological responses to mental stress (https://www.notion.so/Effects-of-soy-lecithin-phosphatidic-acid-and-phosphatidylserine-complex-PAS-on-the-endocrine-and--524169792c5f4060b1588de772e8c818?pvs=21),1,Both sexes,0,,Soy Lecithin,Double-blind,2-4 Weeks,,Soy Lecithin (https://www.notion.so/Soy-Lecithin-1d659c2aeec5818fb68be83cebe4cb50?pvs=21)
" The 600-mg dose of Melissa officinalis (lemon balm) significantly increased self-ratings of calmness.",,Positive,1,,✅,No,0,"June 30, 2023 2:06 PM",0,"April 19, 2025 4:13 PM",Calmness,Lemon Balm,0,0,0,0,18,,Attenuation of laboratory-induced stress in humans after acute administration of Melissa officinalis (Lemon Balm) (https://www.notion.so/Attenuation-of-laboratory-induced-stress-in-humans-after-acute-administration-of-Melissa-officinalis-073614e04ebf447e9eb97414bfcb2b57?pvs=21),1,n/a,0,,Lemon Balm,Double-blind,n/a,,Lemon Balm (https://www.notion.so/Lemon-Balm-1d659c2aeec5811da2c1fce9fbd59fd0?pvs=21)
The 600-mg dose of Melissa officinalis (lemon balm) ameliorated the negative mood effects of the DISS.,,Positive,1,,✅,No,0,"June 30, 2023 2:06 PM",0,"April 19, 2025 4:13 PM",Mood,Lemon Balm,0,0,0,0,18,,Attenuation of laboratory-induced stress in humans after acute administration of Melissa officinalis (Lemon Balm) (https://www.notion.so/Attenuation-of-laboratory-induced-stress-in-humans-after-acute-administration-of-Melissa-officinalis-073614e04ebf447e9eb97414bfcb2b57?pvs=21),1,n/a,0,,Lemon Balm,Double-blind,n/a,,Lemon Balm (https://www.notion.so/Lemon-Balm-1d659c2aeec5811da2c1fce9fbd59fd0?pvs=21)
" A significant increase in the speed of mathematical processing, with no reduction in accuracy, was observed after ingestion of the 300-mg dose of Melissa officinalis (lemon balm).",,Positive,1,,✅,No,0,"June 30, 2023 2:07 PM",0,"April 19, 2025 4:13 PM",Cognition,Lemon Balm,0,0,0,0,18,,Attenuation of laboratory-induced stress in humans after acute administration of Melissa officinalis (Lemon Balm) (https://www.notion.so/Attenuation-of-laboratory-induced-stress-in-humans-after-acute-administration-of-Melissa-officinalis-073614e04ebf447e9eb97414bfcb2b57?pvs=21),1,n/a,0,,Lemon Balm,Double-blind,n/a,,Lemon Balm (https://www.notion.so/Lemon-Balm-1d659c2aeec5811da2c1fce9fbd59fd0?pvs=21)
The study investigated the effects of DHEA supplementation on stress indices in military men undergoing survival training. The treatment resulted in enhanced anabolic balance throughout sustained military stress.,,Positive,1,,✅,No,0,"June 30, 2023 2:09 PM",0,"April 19, 2025 3:05 PM",Stress,DHEA,0,0,0,0,48,,"Effects of dehydroepiandrosterone supplementation during stressful military training: a randomized, controlled, double-blind field study (https://www.notion.so/Effects-of-dehydroepiandrosterone-supplementation-during-stressful-military-training-a-randomized--dc1f8969ff124c1c8b26f34254bca0da?pvs=21)",1,n/a,0,,DHEA,Double-blind,n/a,,DHEA (https://www.notion.so/DHEA-1d659c2aeec5816a8238d5fa84e9d5d3?pvs=21)
"Saffron, like the commonly prescribed citalopram, significantly helps to reduce the symptoms of depression and anxiety in patients with major depressive disorder and anxious distress, without causing any additional significant side effects.",,Positive,1,,⭐,No,0,"June 30, 2023 2:10 PM",0,"April 18, 2025 4:13 PM",Mood,Saffron,0,0,0,0,66,,"Crocus sativus L. versus Citalopram in the Treatment of Major Depressive Disorder with Anxious Distress: A Double-Blind, Controlled Clinical Trial (https://www.notion.so/Crocus-sativus-L-versus-Citalopram-in-the-Treatment-of-Major-Depressive-Disorder-with-Anxious-Distr-beb50c61caec4d2d9c9f99a4ec49a75f?pvs=21)",2,Both sexes,0,,Saffron,Randomized controlled trial,1-6 Months,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
"Saffron, like the commonly prescribed citalopram, significantly helps to reduce the symptoms of depression and anxiety in patients with major depressive disorder and anxious distress, without causing any additional significant side effects.",,Positive,1,,⭐,No,0,"June 30, 2023 2:10 PM",0,"April 18, 2025 4:13 PM",Anxiety,Saffron,0,0,0,0,66,,"Crocus sativus L. versus Citalopram in the Treatment of Major Depressive Disorder with Anxious Distress: A Double-Blind, Controlled Clinical Trial (https://www.notion.so/Crocus-sativus-L-versus-Citalopram-in-the-Treatment-of-Major-Depressive-Disorder-with-Anxious-Distr-beb50c61caec4d2d9c9f99a4ec49a75f?pvs=21)",2,Both sexes,0,,Saffron,Randomized controlled trial,1-6 Months,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
he study investigates the effects of saffron as an adjuvant therapy to sertraline in patients with generalized anxiety disorder (GAD). The results show that saffron treated patients had a significantly lower mean Hamilton Anxiety Rating Scale (HAM-A) score compared to the placebo group. This suggests that saffron may help to alleviate symptoms of GAD.,,Positive,1,,✅,No,0,"June 30, 2023 2:11 PM",0,"April 18, 2025 4:13 PM",Anxiety,Saffron,0,0,0,0,40,,Effect of Saffron (Crocus sativus L.) as an Add-On Therapy to Sertraline in Mild to Moderate Generalized Anxiety Disorder: A Double Blind Randomized Controlled Trial (https://www.notion.so/Effect-of-Saffron-Crocus-sativus-L-as-an-Add-On-Therapy-to-Sertraline-in-Mild-to-Moderate-General-aa1465dadbec4192bf9696b59b9e9920?pvs=21),1,Both,0,,Saffron,Randomized controlled trial,1-6 Months,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
" Saffron, when taken by itself or with antidepressants, significantly helped people feel less depressed and anxious according to studies",,Positive,1,,🎓,No,0,"June 30, 2023 2:13 PM",0,"April 18, 2025 4:13 PM",Anxiety,Saffron,0,0,0,0,,,Effect of saffron supplementation on symptoms of depression and anxiety: a systematic review and meta-analysis (https://www.notion.so/Effect-of-saffron-supplementation-on-symptoms-of-depression-and-anxiety-a-systematic-review-and-met-6bb2b76730d844e0bd4cec8ebb649306?pvs=21),5,n/a,0,,Saffron,Meta-analysis,n/a,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
" Saffron, when taken by itself or with antidepressants, significantly helped people feel less depressed and anxious according to studies",,Positive,1,,🎓,No,0,"June 30, 2023 2:13 PM",0,"April 18, 2025 4:13 PM",Mood,Saffron,0,0,0,0,,,Effect of saffron supplementation on symptoms of depression and anxiety: a systematic review and meta-analysis (https://www.notion.so/Effect-of-saffron-supplementation-on-symptoms-of-depression-and-anxiety-a-systematic-review-and-met-6bb2b76730d844e0bd4cec8ebb649306?pvs=21),5,n/a,0,,Saffron,Meta-analysis,n/a,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
"When diabetic patients took a saffron capsule every day, they felt less anxious and slept better.",,Positive,1,,✅,No,0,"June 30, 2023 2:14 PM",0,"April 18, 2025 4:13 PM",Anxiety,Saffron,0,0,0,0,50,,Effect of saffron oral capsule on anxiety and quality of sleep of diabetic patients in a tertiary healthcare facility in southeastern Iran: A quasi-experimental study (https://www.notion.so/Effect-of-saffron-oral-capsule-on-anxiety-and-quality-of-sleep-of-diabetic-patients-in-a-tertiary-he-eb8ee4f3b79c4b7691487cc2a35ed54f?pvs=21),1,Both,0,,Saffron,Randomized controlled trial,1-7 days,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
"When diabetic patients took a saffron capsule every day, they felt less anxious and slept better.",,Positive,1,,✅,No,0,"June 30, 2023 2:14 PM",0,"April 18, 2025 4:13 PM",Sleep Quality,Saffron,0,0,0,0,50,,Effect of saffron oral capsule on anxiety and quality of sleep of diabetic patients in a tertiary healthcare facility in southeastern Iran: A quasi-experimental study (https://www.notion.so/Effect-of-saffron-oral-capsule-on-anxiety-and-quality-of-sleep-of-diabetic-patients-in-a-tertiary-he-eb8ee4f3b79c4b7691487cc2a35ed54f?pvs=21),1,Both,1,,Saffron,Randomized controlled trial,1-7 days,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
" The study found that anxiety symptoms were significantly relieved in the group that received saffron treatment.","30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 2:15 PM",0,"April 18, 2025 4:13 PM",Anxiety,Saffron,0,0,0,0,54,,"The effects of alcoholic extract of saffron (Crocus satious L.) on mild to moderate comorbid depression-anxiety, sleep quality, and life satisfaction in type 2 diabetes mellitus: A double-blind, randomized and placebo-controlled clinical trial (https://www.notion.so/The-effects-of-alcoholic-extract-of-saffron-Crocus-satious-L-on-mild-to-moderate-comorbid-depress-4d4135e991da44b682aeb2b792164834?pvs=21)",1,female,0,,Saffron,Randomized controlled trial,1-6 months,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
" The study investigated the effects of saffron on Comorbid Depression-Anxiety (CDA) in type 2 diabetic patients. However, it's important to note that the study did not find a significant change in depression alone, only in the comorbid condition of depression and anxiety.","30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 2:15 PM",0,"April 18, 2025 4:13 PM",Mood,Saffron,0,0,0,0,54,,"The effects of alcoholic extract of saffron (Crocus satious L.) on mild to moderate comorbid depression-anxiety, sleep quality, and life satisfaction in type 2 diabetes mellitus: A double-blind, randomized and placebo-controlled clinical trial (https://www.notion.so/The-effects-of-alcoholic-extract-of-saffron-Crocus-satious-L-on-mild-to-moderate-comorbid-depress-4d4135e991da44b682aeb2b792164834?pvs=21)",1,female,0,,Saffron,Randomized controlled trial,1-6 months,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
- The study found that sleep disturbances were significantly relieved in the group that received saffron treatment.,"30-44, 45-64",Positive,1,,✅,No,0,"June 30, 2023 2:17 PM",0,"April 18, 2025 4:13 PM",Sleep Quality,Saffron,0,0,0,0,54,,"The effects of alcoholic extract of saffron (Crocus satious L.) on mild to moderate comorbid depression-anxiety, sleep quality, and life satisfaction in type 2 diabetes mellitus: A double-blind, randomized and placebo-controlled clinical trial (https://www.notion.so/The-effects-of-alcoholic-extract-of-saffron-Crocus-satious-L-on-mild-to-moderate-comorbid-depress-4d4135e991da44b682aeb2b792164834?pvs=21)",1,female,1,,Saffron,Randomized controlled trial,1-6 months,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
"However, it's important to note that the study did not find a significant change in depression alone, only in the comorbid condition of depression and anxiety.","30-44, 45-64",NULL,-1,,🚩,No,0,"June 30, 2023 2:17 PM",0,"April 18, 2025 4:13 PM",Mood,Saffron,0,0,0,0,54,,"The effects of alcoholic extract of saffron (Crocus satious L.) on mild to moderate comorbid depression-anxiety, sleep quality, and life satisfaction in type 2 diabetes mellitus: A double-blind, randomized and placebo-controlled clinical trial (https://www.notion.so/The-effects-of-alcoholic-extract-of-saffron-Crocus-satious-L-on-mild-to-moderate-comorbid-depress-4d4135e991da44b682aeb2b792164834?pvs=21)",0,female,0,,Saffron,Randomized controlled trial,1-6 months,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
"The study tested if saffron could help with memory, depression, and anxiety in people who had heart bypass surgery. It was found that saffron did not provide any significant help in improving these conditions.","18-29, 30-44, 45-64",NULL,-1,,✅,No,0,"June 30, 2023 2:19 PM",0,"April 18, 2025 4:13 PM",Cognition,Saffron,0,0,0,0,76,,"Effects of Saffron on Cognition, Anxiety, and Depression in Patients Undergoing Coronary Artery Bypass Grafting: A Randomized Double-Blind Placebo-Controlled Trial (https://www.notion.so/Effects-of-Saffron-on-Cognition-Anxiety-and-Depression-in-Patients-Undergoing-Coronary-Artery-Bypa-a58eec595c2e4c14a608a517644f2fdc?pvs=21)",-1,both sexes,0,,Saffron,Randomized controlled trial,1-6 Months,,Saffron (https://www.notion.so/Saffron-1d659c2aeec581429aecc7a056cc5dfc?pvs=21)
